,date,restaurant_id,*,**,***
20619,2006-04-04,6VOp6a3L,7,0,2
10144,2006-10-04,1JEbP4oR,0,0,0
19634,2006-10-16,Pk3w02od,6,1,2
24797,2006-10-19,1JEbP4oR,0,0,0
20253,2006-11-17,N6OkmQ3x,0,0,0
6867,2006-11-30,v5oJKbOB,0,0,0
1808,2007-01-02,0ZEDMl3D,0,0,0
22543,2007-01-02,m0oWNg3G,0,0,0
12564,2007-01-03,Pk3w2qEd,0,0,0
18707,2007-01-04,JBEyyJE8,0,0,0
9578,2007-01-04,WeEeAWEa,0,0,0
12718,2007-01-05,WwOaqBOB,0,0,0
19554,2007-01-05,wmo7BG3q,0,0,0
4161,2007-01-08,N6OkjVox,0,0,0
11635,2007-01-09,0ZEDMl3D,0,0,0
21551,2007-01-10,dj3deXo9,0,0,0
5024,2007-01-10,rNo69l36,0,0,0
19292,2007-01-10,v5oJyJ3B,7,1,2
11620,2007-01-12,nkOvRxOB,0,0,0
21723,2007-01-16,B1oXQmOV,0,0,0
7394,2007-01-16,JBEyeBE8,0,0,0
23633,2007-01-16,ekE42No2,0,0,0
11251,2007-01-16,wmo7BG3q,0,0,0
14512,2007-01-17,N6OkjVox,0,0,0
8628,2007-01-17,m0oW8gOG,0,0,0
20829,2007-01-17,wmo7Z73q,2,0,0
20541,2007-01-19,WwOaqBOB,0,0,0
4268,2007-01-19,lnORVGON,0,0,0
15008,2007-01-19,qN3gW13A,0,0,0
25019,2007-01-19,rJoQj0OV,0,0,0
24587,2007-01-19,v5oJyJ3B,7,1,2
8525,2007-01-22,KAoKxdOg,0,0,0
20467,2007-01-22,njoZgbOr,0,0,0
25987,2007-01-23,1JEbP4oR,0,0,0
1851,2007-01-23,B1oXWb3V,0,0,0
22491,2007-01-23,JBEyeBE8,0,0,0
32129,2007-01-23,KAoKB3gm,0,0,0
25404,2007-01-23,Y1Em0mOw,0,0,0
8855,2007-01-23,ekE42No2,0,0,0
20169,2007-01-24,1JEbr1ER,0,0,0
1742,2007-01-24,NbE1YaEJ,0,0,0
28841,2007-01-25,6Wo2LYE9,0,0,0
10718,2007-01-25,ydEjeOW0,0,0,0
7760,2007-01-26,qN3gW13A,0,0,0
2856,2007-01-26,we39ZAok,0,0,0
26066,2007-01-29,VpoGz73r,0,0,0
3087,2007-01-29,eVOBWeEj,14,1,3
6664,2007-01-29,njoZgbOr,0,0,0
30912,2007-01-29,we39ZAok,0,0,0
12378,2007-01-30,1JEbP4oR,0,0,0
2288,2007-01-30,6VOpy5EL,0,0,0
26035,2007-01-30,Pk3wb5Ed,0,0,0
12663,2007-01-30,m0oWmREG,0,0,0
3967,2007-01-31,8x3zy2Ek,16,0,8
3041,2007-01-31,JGoNdWEL,0,0,0
24908,2007-01-31,XJ3r5ZER,0,0,0
1915,2007-01-31,we39Nvok,0,0,0
3502,2007-01-31,wmo77doq,0,0,0
4202,2007-02-01,8x3zy2Ek,16,0,8
4242,2007-02-01,9JoP9QO8,0,0,0
31192,2007-02-01,ydEj5gOW,0,0,0
24537,2007-02-02,1m3MNboB,0,0,0
9433,2007-02-02,8gOqR0E2,0,0,0
20004,2007-02-02,B1oXAQOV,0,0,0
26572,2007-02-03,9JoP9QO8,0,0,0
19595,2007-02-05,1JEbDQoR,0,0,0
506,2007-02-06,p038NDOm,0,0,0
2757,2007-02-07,1JEbr1ER,0,0,0
22311,2007-02-07,KAoKB3gm,0,0,0
2778,2007-02-07,VpoGrg3r,0,0,0
23736,2007-02-07,XJ3r5ZER,0,0,0
20500,2007-02-07,eVOBWeEj,14,1,3
4597,2007-02-07,xWoYKEKn,0,0,0
20931,2007-02-08,6Wo2vGo9,0,0,0
8081,2007-02-08,ZBEn02oY,0,0,0
8340,2007-02-08,we39Nvok,0,0,0
20645,2007-02-08,we39ZAok,0,0,0
22871,2007-02-08,ydEj5gOW,0,0,0
17640,2007-02-09,6VOpwdoL,0,0,0
