restaurant_id,yelp_id_0,yelp_id_1,yelp_id_2,yelp_id_3
Y1Em4GOw,5Kdf1DGbRScRk6Cx3jaX8w,,,
KAoKP6Og,Urw6NASrebP6tyFdjwjkwQ,,,
WeEe7eoa,xlOE7jqbW1Q_PrvLBVlegQ,,,
V430mqoB,ktYpqtygWIJ2RjVPGTxNaA,,,
ekE4Qz32,n8CsQy7Iy1IMhP85hPVKPA,,,
Pk3wQ9Od,k_NyuJ67p9_D_7iIzsbJUw,,,
V430a7oB,O7Wgpxd8iGLKMmnhdbtJuw,,,
xWoYpd3K,nUbPzfRH5-d01dSWRv4UZQ,,,
WwOa4YoB,J4J7LOfq0AwXqrO7PgSFHQ,,,
KAoK283g,edbAEdBrOMTSXsutqzCWTg,,,
8gOq4Mo2,oIa4_X3nV50wwNtSXE93_Q,,,
v5oJmd3B,H5IIFzGlOuf50sPrDXMtpQ,,,
geEV0Zoz,vlvkX0bT-X1wjrtJJHlGlw,,,
B1oXV6EV,lJr7n1vZ_NPPZv-cCzHmuA,,,
WwOaDBoB,HHuaSxExxef3BknhNytPng,,,
Pk3wN9Ed,mK9yllwCMcZ0PG8d48QvEw,,,
dj3d9Ao9,xhyDdXLUg9LYtXjsMUo7Qw,,,
8x3zq2Ek,RB9i28_OHxH_9njgIgN5ZQ,,,
eVOBgpEj,WkfRFMB2tZbFxf1nsn1Tuw,,,
qN3gDBoA,Kw3GA_gz5cPRUwA-oGirGQ,,,
WeEewoab,IkEtseYqecfJzF-CYwRIww,,,
v5oJ6doB,1z7q3pYA5RADkJY2JXQ9Lw,,,
1JEb0MoR,FNSeHhZUjxvq66Ad0U7X2Q,,,
NbE1QmEJ,huz6Vzr43jyceUMqFJqBjg,,,
njoZZBor,LdzAlJnB4fslwVQ3F40Z1w,,,
B1oXNlEV,w7AJuBjjxe4Obb1AbHvj9Q,,,
8x3zXLOk,UmgcEKYWgSN0R8BdvLOcDQ,,,
6VOpkmoL,WcCeU3jeHsmeCVmnhtOa7A,,,
p038M4om,HhCe6sCH4aM2Ms3v-rCedg,,,
JBEyrV38,eUW_2YVPzZh51d5L1z99Qg,,,
V430q1oB,tKtVx2iUR_YyJwUzODNNzA,,,
ZBEndKoY,5uXoDqGdwMtdgGnDG2fVnw,,,
Y1Emrl3w,CivIfhVTX4hOpM_PvitK1g,,,
NbE1rN3J,MN4JY0S23kL92yq3Icbc7w,,,
lnORZeON,Oky7Ont6K2fLWQqdZJTv2A,,,
8x3z8bOk,4szp0oAXNzQcUSzoUYPbag,,,
we39lDEk,N1I62n251RGzw1yGO_AKuQ,,,
6K3laKoz,9d5DyAi5-gzNzIp4WBlAfw,,,
8gOqZeE2,-g-DBG41EKzmmWL4zYYLCg,,,
v5oJVroB,nCGr8lh1FlqzXjtVjUbiNg,,,
9JoPmqO8,8v85BnGbBjX6O8r4PZ5yGA,,,
m0oW92EG,60VAJCm0HaNKK1lMzmxGtg,,,
0j3L6NOr,rSRzW-13jXLXyugO06aqfw,,,
VpoGgdor,8g_wzgZwZcQs7TOXTFp2yg,,,
B1oXQmOV,ei9SSSKqwsktRAVe02N7XQ,,,
6K3lZqOz,M4qCjI8_jAUI2wQ2Jx05lQ,,,
xWoYgdEK,vp_aMkBmYbkA--cQ4vlMGg,,,
8x3z5bEk,UMAoibULP4HxAlUObUJgVA,,,
p038gXEm,lle4lSxbACtI-Dfxoqz4zQ,,,
JBEyvm38,9W9_KgjsJlnf8yzi6zpHUw,,,
8xExD7E0,KibO1gddNpKzPduJKPGQXA,,,
m0oWJl3G,H3C_4i7bexx5im2EirxuLg,,,
8KoAvzO6,fWiYrjq_lsUH3TUnK8ezqQ,,,
ekE4mN32,MTeEKypVtlnr0ERJbc0EGA,,,
0ZEDQG3D,qFTdQEMaHSu275oZ4jaMaw,,,
we39xNEk,mZ1ApfDu5iVP5vJ1ag5Sqg,,,
lnORQDoN,ZrDuca0zT1bVscI7nIXwkA,,,
8KoAbYO6,vKAveftHblmq9klNmn8GNQ,,,
Pk3w9DOd,0dIDNlEtGEBnkcbHCiL2hQ,,,
VpoGD9Or,iqyYiy-4WSOWAw0fv96-Cg,,,
dj3dKKE9,lg-9jI4mtIiJj5adoq0yVg,,,
8x3zRN3k,QZnHVr3UuTX61u_tyG2dMQ,,,
9JoP8jo8,MfZk4_t5693Xm7YRBfS8wQ,,,
eVOBjkOj,6hntGQO59c9HX4a32EI_zw,,,
ZBEnlqoY,3hNSvu0csMgXs9dBBm9xsg,,,
nkOv1loB,Hd1GP1cI0gnYQhQf9qqUUQ,,,
